screen_time_minutes,accelerometer_mean,gyroscope_mean,touch_events_per_minute,battery_consumption_per_hour,cpu_usage_percent,background_apps_running,device_temperature_c,usage_class,overheating_flag,cpu_usage,battery_drain,temperature,memory_usage,screen_time,gaming_time,social_media_time,Age_Group,Usage_Type,Health_Risk,total_usage,usage_intensity
194,7.995998162,11.54532023,118,4.721898355,41,13,46.2058337,0,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,42,15,46,7617,3.99,1.49,4.42,Adult,Social Media,Low,9.9,2.481203008
64,14.76830405,5.170737645,129,27.37736102,37,29,31.24395559,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,89,6,30,3660,4.09,1.3,0.51,Young Adult,Productivity,Low,5.9,1.442542787
116,7.745616444,14.38816818,17,12.7645633,93,2,37.68437796,1,0,,,,,,,,Adult,Productivity,Low,,
161,10.7879403,6.204335155,29,29.486075,43,12,45.63381646,0,1,,,,,,,,Adult,Productivity,Low,,
104,13.41286627,9.061589136,127,3.947977203,65,16,46.73134907,0,1,,,,,,,,Adult,Productivity,Low,,
419,13.93868135,11.58963561,81,26.47149573,80,7,29.69528214,1,0,,,,,,,,Adult,Productivity,Low,,
70,5.551826434,1.363919987,188,19.91017899,65,18,49.55934725,1,1,,,,,,,,Adult,Productivity,Low,,
139,8.623458051,2.396816357,157,22.17987102,45,29,43.13896353,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,53,9,49,6177,5.12,2.85,3.21,Young Adult,Social Media,Medium,11.18,2.18359375
298,19.88970351,13.15608921,41,22.98660725,80,5,45.3806696,1,1,,,,,,,,Adult,Productivity,Low,,
371,5.442649652,14.52120779,171,1.008075802,74,4,29.2796035,1,0,,,,,,,,Adult,Productivity,Low,,
261,6.903405368,11.25676267,67,24.65428596,40,18,28.91680381,1,0,,,,,,,,Adult,Productivity,Low,,
350,9.347008877,1.383604714,35,31.82146646,78,3,35.69347105,1,0,,,,,,,,Adult,Productivity,Low,,
222,1.973724067,13.01486397,72,19.10848566,27,4,43.75911454,0,0,,,,,,,,Adult,Productivity,Low,,
390,1.757359783,1.645153789,146,30.04313233,90,8,40.98764919,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,33,19,36,3774,7.42,0.83,4.93,Teen,Social Media,Medium,13.18,1.776280323
161,10.7879403,6.204335155,29,29.486075,43,12,45.63381646,0,1,,,,,,,,Adult,Productivity,Low,,
161,10.7879403,6.204335155,29,29.486075,43,12,45.63381646,0,1,,,,,,,,Adult,Productivity,Low,,
179,18.13136588,1.176617952,115,26.33219464,30,11,31.8464498,0,0,,,,,,,,Adult,Productivity,Low,,
287,8.527071752,12.58680925,99,27.81943738,57,13,42.20783788,1,0,,,,,,,,Adult,Productivity,Low,,
297,12.80158482,3.57994217,87,2.50880656,93,4,47.6925903,1,1,,,,,,,,Adult,Productivity,Low,,
85,16.8998415,7.226687207,182,3.381009995,41,14,49.64093636,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,74,27,32,6188,6.65,4.52,2.94,Young Adult,Gaming,Medium,14.11,2.121804511
70,5.551826434,1.363919987,188,19.91017899,65,18,49.55934725,1,1,,,,,,,,Adult,Productivity,Low,,
59,12.9375569,11.2611657,149,18.76277559,64,23,31.22022783,0,0,,,,,,,,Adult,Productivity,Low,,
364,11.65566377,4.100816756,106,33.57780696,71,2,32.58723132,1,0,,,,,,,,Adult,Productivity,Low,,
348,3.968162676,5.208985286,18,33.54718894,25,23,30.15781678,1,0,,,,,,,,Adult,Productivity,Low,,
67,17.74493971,7.135850624,32,30.39275793,98,23,31.83040538,1,1,,,,,,,,Adult,Productivity,Low,,
302,1.601147487,0.232435931,190,5.961350517,75,1,29.28812044,1,0,,,,,,,,Adult,Productivity,Low,,
191,15.6477914,3.11477706,166,8.821825223,47,26,41.99840979,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,42,8,47,6881,7.95,3.1,2.22,Teen,Gaming,Medium,13.27,1.66918239
,,,,,,,,,,87,12,45,3816,9.82,3.49,0.7,Teen,Gaming,High,14.01,1.426680244
67,17.74493971,7.135850624,32,30.39275793,98,23,31.83040538,1,1,,,,,,,,Adult,Productivity,Low,,
194,9.786168844,0.254395874,55,28.04162249,26,27,44.82581562,0,1,,,,,,,,Adult,Productivity,Low,,
284,3.185328173,8.08208808,141,31.06276526,55,4,44.72637611,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,42,8,47,6881,7.95,3.1,2.22,Teen,Gaming,Medium,13.27,1.66918239
302,1.601147487,0.232435931,190,5.961350517,75,1,29.28812044,1,0,,,,,,,,Adult,Productivity,Low,,
405,17.61916338,8.68341975,154,4.099592674,94,25,32.45457232,1,0,,,,,,,,Adult,Productivity,Low,,
389,19.35485298,8.048799144,53,7.102908996,16,10,32.34435078,1,0,,,,,,,,Adult,Productivity,Low,,
275,12.59509886,11.95725305,105,10.42703195,65,12,32.28169526,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,67,15,32,2715,6.95,0.85,4.13,Young Adult,Social Media,Medium,11.93,1.716546763
219,17.76662497,6.82595066,133,33.71135872,19,3,39.34494741,0,0,,,,,,,,Adult,Productivity,Low,,
76,5.649539917,5.854612341,104,33.9017792,26,14,40.1836493,0,0,,,,,,,,Adult,Productivity,Low,,
45,3.768240119,10.33238152,129,31.51282903,73,26,45.3118745,0,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,71,17,40,4124,7.54,0.16,5.92,Teen,Social Media,Medium,13.62,1.806366048
,,,,,,,,,,53,9,49,6177,5.12,2.85,3.21,Young Adult,Social Media,Medium,11.18,2.18359375
167,0.917243584,1.974788555,114,18.85107103,48,26,36.67847813,0,0,,,,,,,,Adult,Productivity,Low,,
350,13.96880861,12.41064248,40,8.151885717,97,20,39.37991924,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,20,9,47,4059,4.8,0.46,5.03,Young Adult,Social Media,Low,10.29,2.14375
235,0.404560352,9.749901462,46,18.72285061,9,17,42.52665983,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,81,9,37,7002,6.93,0.22,2.47,Young Adult,Social Media,Medium,9.62,1.388167388
105,11.11869074,6.157348479,42,11.14473065,69,22,40.43048384,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,13,21,42,5729,2.73,3.79,2.27,Adult,Gaming,Low,8.79,3.21978022
164,2.089699255,3.065870412,4,28.93144021,56,28,31.62592595,0,0,,,,,,,,Adult,Productivity,Low,,
288,6.797428876,0.322725097,197,12.0987416,41,7,42.44252936,1,0,,,,,,,,Adult,Productivity,Low,,
364,11.65566377,4.100816756,106,33.57780696,71,2,32.58723132,1,0,,,,,,,,Adult,Productivity,Low,,
67,17.74493971,7.135850624,32,30.39275793,98,23,31.83040538,1,1,,,,,,,,Adult,Productivity,Low,,
176,13.17651544,7.992423022,32,2.204360526,70,24,41.50653886,0,0,,,,,,,,Adult,Productivity,Low,,
202,7.621953043,6.50134574,107,32.00242519,77,12,49.91935543,0,1,,,,,,,,Adult,Productivity,Low,,
67,17.74493971,7.135850624,32,30.39275793,98,23,31.83040538,1,1,,,,,,,,Adult,Productivity,Low,,
139,11.48288356,5.698865712,57,17.35610405,91,21,49.18853245,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,58,17,45,5933,7.25,1.94,0.94,Teen,Productivity,Medium,10.13,1.397241379
,,,,,,,,,,56,25,37,4051,9.49,2.06,5.54,Teen,Social Media,High,17.09,1.800842993
164,16.24296312,14.00869277,147,30.88843033,53,25,42.16589358,0,0,,,,,,,,Adult,Productivity,Low,,
52,4.871768447,8.97930733,10,16.55269132,88,17,47.83876383,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,42,8,47,6881,7.95,3.1,2.22,Teen,Gaming,Medium,13.27,1.66918239
371,13.47332009,8.71576652,71,21.01084379,54,10,28.42223009,1,0,,,,,,,,Adult,Productivity,Low,,
143,2.741633903,8.039631381,175,8.355016783,98,22,44.2218557,1,1,,,,,,,,Adult,Productivity,Low,,
134,17.35068724,9.524690528,57,11.90525317,50,23,40.21186888,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,87,12,45,3816,9.82,3.49,0.7,Teen,Gaming,High,14.01,1.426680244
256,5.960429542,10.75687717,194,1.624499656,23,12,43.56898056,1,0,,,,,,,,Adult,Productivity,Low,,
43,11.16450027,6.882153278,150,25.54417935,58,21,41.27672867,0,0,,,,,,,,Adult,Productivity,Low,,
389,1.251491565,4.354547766,104,19.164235,48,1,29.94920945,1,0,,,,,,,,Adult,Productivity,Low,,
342,6.521459127,9.079170187,69,23.33745116,75,20,42.88229462,1,0,,,,,,,,Adult,Productivity,Low,,
364,1.501281004,11.78079055,25,2.791250423,63,29,31.12948611,1,0,,,,,,,,Adult,Productivity,Low,,
363,3.589072371,1.61779404,51,31.41231765,15,23,28.26638646,1,0,,,,,,,,Adult,Productivity,Low,,
335,17.03347613,0.533123469,120,27.860461,48,21,48.22662341,1,1,,,,,,,,Adult,Productivity,Low,,
405,17.61916338,8.68341975,154,4.099592674,94,25,32.45457232,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,71,17,40,4124,7.54,0.16,5.92,Teen,Social Media,Medium,13.62,1.806366048
,,,,,,,,,,59,26,41,2150,9.65,2.67,3.51,Teen,Social Media,High,15.83,1.640414508
194,9.786168844,0.254395874,55,28.04162249,26,27,44.82581562,0,1,,,,,,,,Adult,Productivity,Low,,
297,12.80158482,3.57994217,87,2.50880656,93,4,47.6925903,1,1,,,,,,,,Adult,Productivity,Low,,
120,11.56089905,14.52151129,108,27.20903969,47,4,45.95083266,0,1,,,,,,,,Adult,Productivity,Low,,
298,19.88970351,13.15608921,41,22.98660725,80,5,45.3806696,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,81,9,37,7002,6.93,0.22,2.47,Young Adult,Social Media,Medium,9.62,1.388167388
,,,,,,,,,,23,17,38,2693,3.91,3.89,2.38,Adult,Gaming,Low,10.18,2.603580563
,,,,,,,,,,24,5,47,1971,7.47,1.61,4.18,Teen,Social Media,Medium,13.26,1.775100402
,,,,,,,,,,15,24,35,2664,5.94,2.93,3.52,Young Adult,Social Media,Medium,12.39,2.085858586
,,,,,,,,,,72,28,43,6053,6.74,2.77,2.86,Young Adult,Social Media,Medium,12.37,1.835311573
237,19.17497579,1.363628263,186,28.83871187,54,28,43.97155802,1,0,,,,,,,,Adult,Productivity,Low,,
105,3.257064308,10.32312431,65,9.590069195,80,10,39.26888226,0,0,,,,,,,,Adult,Productivity,Low,,
161,10.7879403,6.204335155,29,29.486075,43,12,45.63381646,0,1,,,,,,,,Adult,Productivity,Low,,
311,4.840899433,4.843600773,9,23.98577674,27,6,42.43556043,1,0,,,,,,,,Adult,Productivity,Low,,
348,3.968162676,5.208985286,18,33.54718894,25,23,30.15781678,1,0,,,,,,,,Adult,Productivity,Low,,
161,10.7879403,6.204335155,29,29.486075,43,12,45.63381646,0,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,11,8,45,4261,7.21,4.58,5.37,Teen,Social Media,Medium,17.16,2.380027739
40,11.51000413,7.498803083,151,33.6847198,80,13,41.5302853,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,44,14,32,1740,2.43,0.67,2.84,Adult,Social Media,Low,5.94,2.444444444
,,,,,,,,,,58,17,45,5933,7.25,1.94,0.94,Teen,Productivity,Medium,10.13,1.397241379
220,18.69881855,13.8644243,124,17.20701216,21,5,42.50578629,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,81,21,32,5070,7.9,0.11,2.93,Teen,Social Media,Medium,10.94,1.384810127
148,19.91704436,9.005489003,73,17.40011697,64,6,45.34952922,0,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,89,6,30,3660,4.09,1.3,0.51,Young Adult,Productivity,Low,5.9,1.442542787
332,1.258052551,0.088795615,103,2.185415448,64,8,33.60275369,1,0,,,,,,,,Adult,Productivity,Low,,
305,16.57459318,7.75277902,173,29.2418456,62,13,38.73278897,1,0,,,,,,,,Adult,Productivity,Low,,
212,0.64957376,9.331044982,189,33.51813372,24,17,28.24268782,1,0,,,,,,,,Adult,Productivity,Low,,
155,5.134504343,6.163879897,148,25.62570048,69,8,38.96162501,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,71,6,46,2470,7.65,2.38,0.53,Teen,Gaming,Medium,10.56,1.380392157
,,,,,,,,,,18,28,39,6104,9.04,4.9,4.93,Teen,Social Media,High,18.87,2.087389381
278,9.451895828,4.157240366,35,14.75250529,49,4,34.85995493,1,0,,,,,,,,Adult,Productivity,Low,,
26,14.90899341,14.78002646,149,34.97801899,88,4,35.61419398,1,0,,,,,,,,Adult,Productivity,Low,,
64,14.76830405,5.170737645,129,27.37736102,37,29,31.24395559,0,0,,,,,,,,Adult,Productivity,Low,,
373,18.3135614,3.448897196,61,33.00207514,53,14,35.22024058,1,0,,,,,,,,Adult,Productivity,Low,,
319,7.853399916,8.251616613,103,14.04281685,27,13,48.62253746,1,1,,,,,,,,Adult,Productivity,Low,,
128,8.163521527,7.456583215,26,21.64841924,77,3,36.61356536,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,82,10,45,6408,6.57,4.21,3.04,Young Adult,Gaming,Medium,13.82,2.103500761
284,11.8785859,8.001269321,46,19.03204939,70,10,35.19249556,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,24,5,47,1971,7.47,1.61,4.18,Teen,Social Media,Medium,13.26,1.775100402
192,5.080002074,10.48013023,62,26.27399598,38,7,28.26665704,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,37,5,38,5646,4.03,3.98,4.61,Young Adult,Social Media,Low,12.62,3.131513648
,,,,,,,,,,23,17,38,2693,3.91,3.89,2.38,Adult,Gaming,Low,10.18,2.603580563
13,16.85625919,12.33577002,19,2.248885873,44,13,46.57585582,0,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,87,12,45,3816,9.82,3.49,0.7,Teen,Gaming,High,14.01,1.426680244
66,0.875366333,12.64259483,129,7.566517396,6,22,44.45760995,0,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,11,11,46,4736,8.57,3.48,3.29,Teen,Gaming,High,15.34,1.789964994
107,19.31184509,1.646003186,141,16.62917143,34,11,33.78847654,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,30,11,34,7457,3.72,1.97,1.93,Adult,Productivity,Low,7.62,2.048387097
18,19.06612976,0.751102193,75,23.49627595,12,4,42.09817892,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,83,21,30,4672,2.91,1.04,1.98,Adult,Productivity,Low,5.93,2.037800687
,,,,,,,,,,17,6,31,6323,5.85,2.74,5.81,Young Adult,Social Media,Medium,14.4,2.461538462
287,0.441505926,11.07420783,97,34.71016139,14,18,49.04303076,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,33,19,36,3774,7.42,0.83,4.93,Teen,Social Media,Medium,13.18,1.776280323
364,8.769890684,10.82171512,178,12.18774642,39,19,29.46634489,1,0,,,,,,,,Adult,Productivity,Low,,
263,2.641025616,3.032628564,81,6.656837956,54,5,46.62331545,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,11,11,46,4736,8.57,3.48,3.29,Teen,Gaming,High,15.34,1.789964994
396,14.32044257,13.41854808,113,21.30731846,46,9,36.26954227,1,0,,,,,,,,Adult,Productivity,Low,,
46,13.03049628,8.053266682,96,20.42484403,97,12,45.04237769,1,1,,,,,,,,Adult,Productivity,Low,,
267,4.414501221,8.504349792,154,20.41075306,25,16,45.2677335,1,1,,,,,,,,Adult,Productivity,Low,,
371,5.442649652,14.52120779,171,1.008075802,74,4,29.2796035,1,0,,,,,,,,Adult,Productivity,Low,,
57,16.7857672,13.62259865,31,25.63037087,72,20,44.12756851,0,1,,,,,,,,Adult,Productivity,Low,,
196,0.459699736,2.514272204,151,2.754257426,76,16,29.78022423,1,0,,,,,,,,Adult,Productivity,Low,,
300,1.110293768,1.040227869,86,14.31542478,8,7,44.13951637,1,1,,,,,,,,Adult,Productivity,Low,,
264,6.518760208,9.140913351,177,14.54177106,97,10,39.20728682,1,0,,,,,,,,Adult,Productivity,Low,,
350,13.96880861,12.41064248,40,8.151885717,97,20,39.37991924,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,69,25,43,6092,5.17,2.4,5.38,Young Adult,Social Media,Medium,12.95,2.50483559
,,,,,,,,,,74,27,32,6188,6.65,4.52,2.94,Young Adult,Gaming,Medium,14.11,2.121804511
311,4.840899433,4.843600773,9,23.98577674,27,6,42.43556043,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,74,13,37,3489,5.49,2.92,0.83,Young Adult,Gaming,Medium,9.24,1.683060109
,,,,,,,,,,18,13,33,2682,7.44,2.4,0.63,Teen,Gaming,Medium,10.47,1.407258065
135,18.8086555,1.189195675,31,22.7242791,13,28,30.56006075,0,0,,,,,,,,Adult,Productivity,Low,,
272,18.31275318,13.03110155,131,31.427329,18,24,46.49917475,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,63,21,35,2081,2.67,3.63,3.39,Adult,Gaming,Low,9.69,3.629213483
207,4.741238641,9.380318086,138,19.4699154,57,13,44.74179672,0,1,,,,,,,,Adult,Productivity,Low,,
70,5.551826434,1.363919987,188,19.91017899,65,18,49.55934725,1,1,,,,,,,,Adult,Productivity,Low,,
66,0.875366333,12.64259483,129,7.566517396,6,22,44.45760995,0,1,,,,,,,,Adult,Productivity,Low,,
19,6.99145599,12.61861429,162,18.5466867,84,17,34.52378279,1,0,,,,,,,,Adult,Productivity,Low,,
196,0.459699736,2.514272204,151,2.754257426,76,16,29.78022423,1,0,,,,,,,,Adult,Productivity,Low,,
174,4.370323482,12.09768006,82,26.72561733,24,3,41.24139497,0,0,,,,,,,,Adult,Productivity,Low,,
287,8.527071752,12.58680925,99,27.81943738,57,13,42.20783788,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,13,29,32,1635,8.94,0.82,5.2,Teen,Social Media,High,14.96,1.673378076
56,10.07069369,8.783782296,196,9.339708097,12,16,33.83102142,1,0,,,,,,,,Adult,Productivity,Low,,
90,13.06454696,7.342756522,36,31.89584452,83,7,45.57171222,0,1,,,,,,,,Adult,Productivity,Low,,
133,18.50040227,8.120916525,33,33.39005369,89,22,33.93605584,1,0,,,,,,,,Adult,Productivity,Low,,
371,5.442649652,14.52120779,171,1.008075802,74,4,29.2796035,1,0,,,,,,,,Adult,Productivity,Low,,
397,15.29095202,2.775143983,92,3.091578892,71,5,44.22518391,1,1,,,,,,,,Adult,Productivity,Low,,
46,13.03049628,8.053266682,96,20.42484403,97,12,45.04237769,1,1,,,,,,,,Adult,Productivity,Low,,
183,18.98800006,5.176756621,78,19.48848287,80,1,32.07430249,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,43,7,44,1559,8.25,1.37,2.99,Teen,Social Media,High,12.61,1.528484848
333,0.967715058,3.115427661,154,19.02901451,17,15,49.24808755,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,12,15,32,1876,5.39,4.7,0.37,Young Adult,Gaming,Medium,10.46,1.940630798
355,1.72372419,7.877854026,81,25.32881272,35,11,47.50529274,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,13,28,48,2931,7.41,3.75,4.42,Teen,Social Media,Medium,15.58,2.102564103
90,13.06454696,7.342756522,36,31.89584452,83,7,45.57171222,0,1,,,,,,,,Adult,Productivity,Low,,
363,3.589072371,1.61779404,51,31.41231765,15,23,28.26638646,1,0,,,,,,,,Adult,Productivity,Low,,
167,0.917243584,1.974788555,114,18.85107103,48,26,36.67847813,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,48,5,47,5364,4,4.38,4.5,Adult,Social Media,Low,12.88,3.22
371,5.442649652,14.52120779,171,1.008075802,74,4,29.2796035,1,0,,,,,,,,Adult,Productivity,Low,,
290,5.287821112,13.76506442,119,28.8351003,39,24,36.18767452,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,59,26,41,2150,9.65,2.67,3.51,Teen,Social Media,High,15.83,1.640414508
333,0.967715058,3.115427661,154,19.02901451,17,15,49.24808755,1,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,69,26,49,3491,4.72,1.8,5.21,Young Adult,Social Media,Low,11.73,2.485169492
284,11.8785859,8.001269321,46,19.03204939,70,10,35.19249556,1,0,,,,,,,,Adult,Productivity,Low,,
299,9.91121059,11.92462728,70,4.47458307,9,6,39.92921852,1,0,,,,,,,,Adult,Productivity,Low,,
105,3.257064308,10.32312431,65,9.590069195,80,10,39.26888226,0,0,,,,,,,,Adult,Productivity,Low,,
378,6.022939973,8.256383599,22,3.231288916,49,17,28.94982219,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,49,26,41,1580,9.75,4.16,4.84,Teen,Social Media,High,18.75,1.923076923
238,7.616804835,8.928552308,40,16.16258244,48,9,31.90343293,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,69,27,34,7293,4.19,0.29,1.98,Young Adult,Productivity,Low,6.46,1.54176611
349,10.89655059,5.925192262,164,11.63706512,79,16,46.0945724,1,1,,,,,,,,Adult,Productivity,Low,,
356,5.291783105,5.358809334,120,25.95293724,5,21,30.16470429,1,0,,,,,,,,Adult,Productivity,Low,,
133,18.50040227,8.120916525,33,33.39005369,89,22,33.93605584,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,30,18,40,2166,9.55,4.6,3.09,Teen,Gaming,High,17.24,1.805235602
271,18.39040273,7.321044356,36,31.8658342,19,18,46.15108702,1,1,,,,,,,,Adult,Productivity,Low,,
9,1.92680141,0.505558683,187,2.658641777,49,19,29.86542435,1,0,,,,,,,,Adult,Productivity,Low,,
313,5.750027397,6.278753913,137,25.6195132,77,29,36.37371246,1,0,,,,,,,,Adult,Productivity,Low,,
154,19.47591035,14.11095082,122,26.80721875,10,21,45.98389359,0,1,,,,,,,,Adult,Productivity,Low,,
284,11.8785859,8.001269321,46,19.03204939,70,10,35.19249556,1,0,,,,,,,,Adult,Productivity,Low,,
406,14.20732884,1.410481261,150,18.76565252,83,2,41.53482764,1,0,,,,,,,,Adult,Productivity,Low,,
